date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:14	2213/2213	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22617ad025-16da%22	https://walkccc.me/robots.txt		(from )
19:41:14	492365/492365	---M-Z	200	added ('OK')	text/html	etag:W/%22624bb50e-7834d%22	https://walkccc.me/LeetCode/	C:/Downloaded%20Web%20Sites/leetcode/LeetcodeSolution/walkccc.me/LeetCode/index.html	(from )
19:41:14	42011/42011	---M--	200	added ('OK')	image/png	etag:%22624bb50e-a41b%22	https://walkccc.me/LeetCode/assets/favicon.png	C:/Downloaded%20Web%20Sites/leetcode/LeetcodeSolution/walkccc.me/LeetCode/assets/favicon.png	(from https://walkccc.me/LeetCode/)
19:41:15	135185/135185	---M-Z	200	added ('OK')	text/css	etag:W/%22624bb50e-21011%22	https://walkccc.me/LeetCode/assets/stylesheets/main.644de097.min.css	C:/Downloaded%20Web%20Sites/leetcode/LeetcodeSolution/walkccc.me/LeetCode/assets/stylesheets/main.644de097.min.css	(from https://walkccc.me/LeetCode/)
19:41:15	10622/10622	---M-Z	200	added ('OK')	text/css	etag:W/%22624bb50e-297e%22	https://walkccc.me/LeetCode/assets/stylesheets/palette.e6a45f82.min.css	C:/Downloaded%20Web%20Sites/leetcode/LeetcodeSolution/walkccc.me/LeetCode/assets/stylesheets/palette.e6a45f82.min.css	(from https://walkccc.me/LeetCode/)
19:41:15	318/318	---M-Z	200	added ('OK')	text/css	etag:W/%22624bb50e-13e%22	https://walkccc.me/LeetCode/css/katex.css	C:/Downloaded%20Web%20Sites/leetcode/LeetcodeSolution/walkccc.me/LeetCode/css/katex.css	(from https://walkccc.me/LeetCode/)
19:41:15	5456/5456	---M-Z	200	added ('OK')	text/css	etag:W/%22624bb50e-1550%22	https://walkccc.me/LeetCode/css/custom.css	C:/Downloaded%20Web%20Sites/leetcode/LeetcodeSolution/walkccc.me/LeetCode/css/custom.css	(from https://walkccc.me/LeetCode/)
19:41:16	23112/23112	---M-Z	200	added ('OK')	text/css	etag:W/%225a48-1NxGHR48idlRyU89wPp/uk7zdec%22	https://cdn.jsdelivr.net/npm/katex@0.15.2/dist/katex.min.css	C:/Downloaded%20Web%20Sites/leetcode/LeetcodeSolution/cdn.jsdelivr.net/npm/katex@0.15.2/dist/katex.min.css	(from https://walkccc.me/LeetCode/)
19:41:16	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/Downloaded%20Web%20Sites/leetcode/LeetcodeSolution/www.google-analytics.com/analytics.js	(from https://walkccc.me/LeetCode/)
19:41:17	492365/492365	---M-Z	200	added ('OK')	text/html	etag:W/%22624bb50e-7834d%22	https://walkccc.me/LeetCode/.	C:/Downloaded%20Web%20Sites/leetcode/LeetcodeSolution/walkccc.me/LeetCode/.html	(from https://walkccc.me/LeetCode/)
19:41:17	7726/7726	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22624bb50e-1e2e%22	https://walkccc.me/LeetCode/assets/code_thinking.svg	C:/Downloaded%20Web%20Sites/leetcode/LeetcodeSolution/walkccc.me/LeetCode/assets/code_thinking.svg	(from https://walkccc.me/LeetCode/)
19:41:17	508832/508832	---M-Z	200	added ('OK')	text/html	etag:W/%22624bb50e-7c3a0%22	https://walkccc.me/LeetCode/preface/	C:/Downloaded%20Web%20Sites/leetcode/LeetcodeSolution/walkccc.me/LeetCode/preface/index.html	(from https://walkccc.me/LeetCode/)
