date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:49	20566/20566	---M-Z	200	added ('OK')	text/html	etag:W/%2260e3efda-5056%22	https://akshay-iyangar.github.io/system-design/	C:/Downloaded%20Web%20Sites/Grokking%20System%20Design/akshay-iyangar.github.io/system-design/index.html	(from )
19:20:49	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225e6d4198-239b%22	https://akshay-iyangar.github.io/robots.txt		(from )
19:20:49	983/983	---M-Z	200	added ('OK')	text/css	etag:W/%2260e3efda-3d7%22	https://akshay-iyangar.github.io/system-design/style.css	C:/Downloaded%20Web%20Sites/Grokking%20System%20Design/akshay-iyangar.github.io/system-design/style.css	(from https://akshay-iyangar.github.io/system-design/)
19:20:50	462041/462041	---M-Z	200	added ('OK')	text/html	etag:W/%2260e3efda-70cd9%22	https://akshay-iyangar.github.io/system-design/grokking-ood/core/object-oriented-basics.html	C:/Downloaded%20Web%20Sites/Grokking%20System%20Design/akshay-iyangar.github.io/system-design/grokking-ood/core/object-oriented-basics.html	(from https://akshay-iyangar.github.io/system-design/)
19:20:50	453291/453291	---M-Z	200	added ('OK')	text/html	etag:W/%2260e3efda-6eaab%22	https://akshay-iyangar.github.io/system-design/grokking-ood/core/OO-analysis-and-design.html	C:/Downloaded%20Web%20Sites/Grokking%20System%20Design/akshay-iyangar.github.io/system-design/grokking-ood/core/OO-analysis-and-design.html	(from https://akshay-iyangar.github.io/system-design/)
19:20:50	478802/478802	---M-Z	200	added ('OK')	text/html	etag:W/%2260e3efda-74e52%22	https://akshay-iyangar.github.io/system-design/grokking-ood/core/what-is-uml.html	C:/Downloaded%20Web%20Sites/Grokking%20System%20Design/akshay-iyangar.github.io/system-design/grokking-ood/core/what-is-uml.html	(from https://akshay-iyangar.github.io/system-design/)
19:20:51	486560/486560	---M-Z	200	added ('OK')	text/html	etag:W/%2260e3efda-76ca0%22	https://akshay-iyangar.github.io/system-design/grokking-ood/core/use-case-diagram.html	C:/Downloaded%20Web%20Sites/Grokking%20System%20Design/akshay-iyangar.github.io/system-design/grokking-ood/core/use-case-diagram.html	(from https://akshay-iyangar.github.io/system-design/)
19:20:51	751816/751816	---M-Z	200	added ('OK')	text/html	etag:W/%2260e3efda-b78c8%22	https://akshay-iyangar.github.io/system-design/grokking-ood/core/class-diagram.html	C:/Downloaded%20Web%20Sites/Grokking%20System%20Design/akshay-iyangar.github.io/system-design/grokking-ood/core/class-diagram.html	(from https://akshay-iyangar.github.io/system-design/)
19:20:51	480723/480723	---M-Z	200	added ('OK')	text/html	etag:W/%2260e3efda-755d3%22	https://akshay-iyangar.github.io/system-design/grokking-ood/core/sequence-diagram.html	C:/Downloaded%20Web%20Sites/Grokking%20System%20Design/akshay-iyangar.github.io/system-design/grokking-ood/core/sequence-diagram.html	(from https://akshay-iyangar.github.io/system-design/)
19:20:52	491000/491000	---M-Z	200	added ('OK')	text/html	etag:W/%2260e3efda-77df8%22	https://akshay-iyangar.github.io/system-design/grokking-ood/core/activity-diagrams.html	C:/Downloaded%20Web%20Sites/Grokking%20System%20Design/akshay-iyangar.github.io/system-design/grokking-ood/core/activity-diagrams.html	(from https://akshay-iyangar.github.io/system-design/)
